name,chemontid,level,SUBCLASS,CHEMONT_STRING,CLASS_STRING
Carbo-azosulfones,CHEMONTID:0003209,4,CHEMONTID:0001157,CHEMONTID:0000000;CHEMONTID:0000004;CHEMONTID:0001157;CHEMONTID:0003209,Organic compounds;Organosulfur compounds;Sulfonyls;Carbo-azosulfones
Indenoazepines,CHEMONTID:0002677,4,CHEMONTID:0000021,CHEMONTID:0000000;CHEMONTID:0002448;CHEMONTID:0000021;CHEMONTID:0002677,Organic compounds;Benzenoids;Indenes and isoindenes;Indenoazepines
Glycerophosphoglycerols,CHEMONTID:0002216,4,CHEMONTID:0000256,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0000256;CHEMONTID:0002216,Organic compounds;Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphoglycerols
1-ribosyl-imidazolecarboxamides,CHEMONTID:0001420,4,CHEMONTID:0001997,CHEMONTID:0000000;CHEMONTID:0000289;CHEMONTID:0001997;CHEMONTID:0001420,"Organic compounds;Nucleosides, nucleotides, and analogues;Imidazole ribonucleosides and ribonucleotides;1-ribosyl-imidazolecarboxamides"
Alkali metal chlorites,CHEMONTID:0000633,4,CHEMONTID:0000445,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000445;CHEMONTID:0000633,Inorganic compounds;Mixed metal/non-metal compounds;Alkali metal oxoanionic compounds;Alkali metal chlorites
Steroid lactones,CHEMONTID:0001125,4,CHEMONTID:0000258,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0000258;CHEMONTID:0001125,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;Steroid lactones
Naphthyridines,CHEMONTID:0001857,4,CHEMONTID:0004788,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0004788;CHEMONTID:0001857,Organic compounds;Organoheterocyclic compounds;Diazanaphthalenes;Naphthyridines
Transition metal molybdates,CHEMONTID:0000996,4,CHEMONTID:0000450,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000450;CHEMONTID:0000996,Inorganic compounds;Mixed metal/non-metal compounds;Transition metal oxoanionic compounds;Transition metal molybdates
Stigmastanes and derivatives,CHEMONTID:0002031,4,CHEMONTID:0000258,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0000258;CHEMONTID:0002031,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;Stigmastanes and derivatives
(3'->5')-cyclic dinucleotides and analogues,CHEMONTID:0003792,4,CHEMONTID:0003796,CHEMONTID:0000000;CHEMONTID:0000289;CHEMONTID:0003796;CHEMONTID:0003792,"Organic compounds;Nucleosides, nucleotides, and analogues;(3'->5')-dinucleotides and analogues;(3'->5')-cyclic dinucleotides and analogues"
Actinide thiosulfates,CHEMONTID:0000628,4,CHEMONTID:0000448,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000448;CHEMONTID:0000628,Inorganic compounds;Mixed metal/non-metal compounds;Actinide oxoanionic compounds;Actinide thiosulfates
Hydroquinolines,CHEMONTID:0001715,4,CHEMONTID:0001253,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001253;CHEMONTID:0001715,Organic compounds;Organoheterocyclic compounds;Quinolines and derivatives;Hydroquinolines
Transition metal periodates,CHEMONTID:0000847,4,CHEMONTID:0000450,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000450;CHEMONTID:0000847,Inorganic compounds;Mixed metal/non-metal compounds;Transition metal oxoanionic compounds;Transition metal periodates
Post-transition metal sulfates,CHEMONTID:0000739,4,CHEMONTID:0000451,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000451;CHEMONTID:0000739,Inorganic compounds;Mixed metal/non-metal compounds;Post-transition metal oxoanionic compounds;Post-transition metal sulfates
Delta-1-steroids,CHEMONTID:0002976,4,CHEMONTID:0000258,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0000258;CHEMONTID:0002976,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;Delta-1-steroids
Alkaline earth metal pyrophosphates,CHEMONTID:0000696,4,CHEMONTID:0000446,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000446;CHEMONTID:0000696,Inorganic compounds;Mixed metal/non-metal compounds;Alkaline earth metal oxoanionic compounds;Alkaline earth metal pyrophosphates
Post-transition metal tetrathionates,CHEMONTID:0000746,4,CHEMONTID:0000451,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000451;CHEMONTID:0000746,Inorganic compounds;Mixed metal/non-metal compounds;Post-transition metal oxoanionic compounds;Post-transition metal tetrathionates
"2,5-disubstituted thiophenes",CHEMONTID:0003481,4,CHEMONTID:0000097,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000097;CHEMONTID:0003481,"Organic compounds;Organoheterocyclic compounds;Thiophenes;2,5-disubstituted thiophenes"
Thiobenzoic acids and derivatives,CHEMONTID:0002361,4,CHEMONTID:0002279,CHEMONTID:0000000;CHEMONTID:0002448;CHEMONTID:0002279;CHEMONTID:0002361,Organic compounds;Benzenoids;Benzene and substituted derivatives;Thiobenzoic acids and derivatives
Quinoline carboxamides,CHEMONTID:0002553,4,CHEMONTID:0001253,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001253;CHEMONTID:0002553,Organic compounds;Organoheterocyclic compounds;Quinolines and derivatives;Quinoline carboxamides
Non-metal perchlorates,CHEMONTID:0001065,4,CHEMONTID:0000435,CHEMONTID:0000001;CHEMONTID:0000423;CHEMONTID:0000435;CHEMONTID:0001065,Inorganic compounds;Homogeneous non-metal compounds;Non-metal oxoanionic compounds;Non-metal perchlorates
Organic triazenes,CHEMONTID:0001898,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0001898,Organic compounds;Organic nitrogen compounds;Organonitrogen compounds;Organic triazenes
Alkaline earth metal bromides,CHEMONTID:0000567,4,CHEMONTID:0000439,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000439;CHEMONTID:0000567,Inorganic compounds;Mixed metal/non-metal compounds;Alkaline earth metal salts;Alkaline earth metal bromides
2-benzimidazolylcarbamic acids,CHEMONTID:0004710,4,CHEMONTID:0000294,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000294;CHEMONTID:0004710,Organic compounds;Organoheterocyclic compounds;Benzimidazoles;2-benzimidazolylcarbamic acids
Transition metal hyponitrites,CHEMONTID:0000840,4,CHEMONTID:0000450,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000450;CHEMONTID:0000840,Inorganic compounds;Mixed metal/non-metal compounds;Transition metal oxoanionic compounds;Transition metal hyponitrites
Polysaccharide sulfates,CHEMONTID:0003309,4,CHEMONTID:0001539,CHEMONTID:0000000;CHEMONTID:0003297;CHEMONTID:0001539;CHEMONTID:0003309,Organic compounds;Organic Polymers;Polysaccharides;Polysaccharide sulfates
Alkaline earth metal dithionites,CHEMONTID:0000708,4,CHEMONTID:0000446,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000446;CHEMONTID:0000708,Inorganic compounds;Mixed metal/non-metal compounds;Alkaline earth metal oxoanionic compounds;Alkaline earth metal dithionites
Idoxy compounds,CHEMONTID:0003275,4,CHEMONTID:0001518,CHEMONTID:0000000;CHEMONTID:0000267;CHEMONTID:0001518;CHEMONTID:0003275,Organic compounds;Organohalogen compounds;Organoiodides;Idoxy compounds
Tetrazolidines,CHEMONTID:0001842,4,CHEMONTID:0002491,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002491;CHEMONTID:0001842,Organic compounds;Organoheterocyclic compounds;Azolidines;Tetrazolidines
Styrenes,CHEMONTID:0000037,4,CHEMONTID:0002279,CHEMONTID:0000000;CHEMONTID:0002448;CHEMONTID:0002279;CHEMONTID:0000037,Organic compounds;Benzenoids;Benzene and substituted derivatives;Styrenes
Lanthanide hydroxides,CHEMONTID:0000757,4,CHEMONTID:0000447,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000447;CHEMONTID:0000757,Inorganic compounds;Mixed metal/non-metal compounds;Lanthanide oxoanionic compounds;Lanthanide hydroxides
Metalloid ferrates,CHEMONTID:0000976,4,CHEMONTID:0000449,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000449;CHEMONTID:0000976,Inorganic compounds;Mixed metal/non-metal compounds;Metalloid oxoanionic compounds;Metalloid ferrates
Nitrile sulfides,CHEMONTID:0003689,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0003689,Organic compounds;Organic nitrogen compounds;Organonitrogen compounds;Nitrile sulfides
Biphenols,CHEMONTID:0000325,4,CHEMONTID:0002279,CHEMONTID:0000000;CHEMONTID:0002448;CHEMONTID:0002279;CHEMONTID:0000325,Organic compounds;Benzenoids;Benzene and substituted derivatives;Biphenols
Nicotinamide nucleotides,CHEMONTID:0001268,4,CHEMONTID:0001297,CHEMONTID:0000000;CHEMONTID:0000289;CHEMONTID:0001297;CHEMONTID:0001268,"Organic compounds;Nucleosides, nucleotides, and analogues;Pyridine nucleotides;Nicotinamide nucleotides"
Non-metal peroxomonosulfates,CHEMONTID:0001081,4,CHEMONTID:0000435,CHEMONTID:0000001;CHEMONTID:0000423;CHEMONTID:0000435;CHEMONTID:0001081,Inorganic compounds;Homogeneous non-metal compounds;Non-metal oxoanionic compounds;Non-metal peroxomonosulfates
Organic selenites,CHEMONTID:0002073,4,CHEMONTID:0000463,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000463;CHEMONTID:0002073,Organic compounds;Organic oxygen compounds;Organic oxoanionic compounds;Organic selenites
Glycopeptidomimetics,CHEMONTID:0001815,4,CHEMONTID:0001813,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0001813;CHEMONTID:0001815,Organic compounds;Organic acids and derivatives;Peptidomimetics;Glycopeptidomimetics
Dibenzothiepins,CHEMONTID:0000232,4,CHEMONTID:0000231,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000231;CHEMONTID:0000232,Organic compounds;Organoheterocyclic compounds;Benzothiepins;Dibenzothiepins
Benzodifurans,CHEMONTID:0002740,4,CHEMONTID:0000301,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000301;CHEMONTID:0002740,Organic compounds;Organoheterocyclic compounds;Benzofurans;Benzodifurans
"Phosphonated 2'-oxa,3'-aza pyrimidine nucleosides",CHEMONTID:0003734,4,CHEMONTID:0003737,CHEMONTID:0000000;CHEMONTID:0000289;CHEMONTID:0003737;CHEMONTID:0003734,"Organic compounds;Nucleosides, nucleotides, and analogues;Nucleoside and nucleotide analogues;Phosphonated 2'-oxa,3'-aza pyrimidine nucleosides"
Purines and purine derivatives,CHEMONTID:0000245,4,CHEMONTID:0001797,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001797;CHEMONTID:0000245,Organic compounds;Organoheterocyclic compounds;Imidazopyrimidines;Purines and purine derivatives
Gamma lactams,CHEMONTID:0000165,4,CHEMONTID:0000160,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000160;CHEMONTID:0000165,Organic compounds;Organoheterocyclic compounds;Lactams;Gamma lactams
Post-transition metal fluorides,CHEMONTID:0000574,4,CHEMONTID:0000444,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000444;CHEMONTID:0000574,Inorganic compounds;Mixed metal/non-metal compounds;Post-transition metal salts;Post-transition metal fluorides
Aminosulfonyl compounds,CHEMONTID:0003137,4,CHEMONTID:0001157,CHEMONTID:0000000;CHEMONTID:0000004;CHEMONTID:0001157;CHEMONTID:0003137,Organic compounds;Organosulfur compounds;Sulfonyls;Aminosulfonyl compounds
Transition metal borates,CHEMONTID:0000994,4,CHEMONTID:0000450,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000450;CHEMONTID:0000994,Inorganic compounds;Mixed metal/non-metal compounds;Transition metal oxoanionic compounds;Transition metal borates
Zearalenones,CHEMONTID:0001788,4,CHEMONTID:0000147,CHEMONTID:0000000;CHEMONTID:0000261;CHEMONTID:0000147;CHEMONTID:0001788,Organic compounds;Phenylpropanoids and polyketides;Macrolides and analogues;Zearalenones
Post-transition metal pyrosulfates,CHEMONTID:0000745,4,CHEMONTID:0000451,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000451;CHEMONTID:0000745,Inorganic compounds;Mixed metal/non-metal compounds;Post-transition metal oxoanionic compounds;Post-transition metal pyrosulfates
Alkali metal dithionites,CHEMONTID:0000669,4,CHEMONTID:0000445,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000445;CHEMONTID:0000669,Inorganic compounds;Mixed metal/non-metal compounds;Alkali metal oxoanionic compounds;Alkali metal dithionites
Phenylquinolines,CHEMONTID:0002348,4,CHEMONTID:0001253,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001253;CHEMONTID:0002348,Organic compounds;Organoheterocyclic compounds;Quinolines and derivatives;Phenylquinolines
"1,4-diselenins",CHEMONTID:0003694,4,CHEMONTID:0003691,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0003691;CHEMONTID:0003694,"Organic compounds;Organoheterocyclic compounds;Diselenins;1,4-diselenins"
Alkaline earth metal chromites,CHEMONTID:0001365,4,CHEMONTID:0000446,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000446;CHEMONTID:0001365,Inorganic compounds;Mixed metal/non-metal compounds;Alkaline earth metal oxoanionic compounds;Alkaline earth metal chromites
Clavines and derivatives,CHEMONTID:0002747,4,CHEMONTID:0002679,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0002679;CHEMONTID:0002747,Organic compounds;Alkaloids and derivatives;Ergoline and derivatives;Clavines and derivatives
Other non-metal nitrides,CHEMONTID:0000553,4,CHEMONTID:0000453,CHEMONTID:0000001;CHEMONTID:0000423;CHEMONTID:0000453;CHEMONTID:0000553,Inorganic compounds;Homogeneous non-metal compounds;Other non-metal organides;Other non-metal nitrides
"1,3-thiazines",CHEMONTID:0001347,4,CHEMONTID:0000094,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000094;CHEMONTID:0001347,"Organic compounds;Organoheterocyclic compounds;Thiazines;1,3-thiazines"
Purine 2'-deoxyribonucleosides,CHEMONTID:0002177,4,CHEMONTID:0000479,CHEMONTID:0000000;CHEMONTID:0000289;CHEMONTID:0000479;CHEMONTID:0002177,"Organic compounds;Nucleosides, nucleotides, and analogues;Purine nucleosides;Purine 2'-deoxyribonucleosides"
Para dioxins,CHEMONTID:0001386,4,CHEMONTID:0001384,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001384;CHEMONTID:0001386,Organic compounds;Organoheterocyclic compounds;Dioxins;Para dioxins
Post-transition metal tellurites,CHEMONTID:0000945,4,CHEMONTID:0000451,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000451;CHEMONTID:0000945,Inorganic compounds;Mixed metal/non-metal compounds;Post-transition metal oxoanionic compounds;Post-transition metal tellurites
Azapeptides,CHEMONTID:0001942,4,CHEMONTID:0001813,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0001813;CHEMONTID:0001942,Organic compounds;Organic acids and derivatives;Peptidomimetics;Azapeptides
Transition metal chromates,CHEMONTID:0000833,4,CHEMONTID:0000450,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000450;CHEMONTID:0000833,Inorganic compounds;Mixed metal/non-metal compounds;Transition metal oxoanionic compounds;Transition metal chromates
Thiophene sulfoxides,CHEMONTID:0003215,4,CHEMONTID:0000097,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000097;CHEMONTID:0003215,Organic compounds;Organoheterocyclic compounds;Thiophenes;Thiophene sulfoxides
Metalloid orthovanadates,CHEMONTID:0000987,4,CHEMONTID:0000449,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000449;CHEMONTID:0000987,Inorganic compounds;Mixed metal/non-metal compounds;Metalloid oxoanionic compounds;Metalloid orthovanadates
Alkali metal selenophosphates,CHEMONTID:0002267,4,CHEMONTID:0000445,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000445;CHEMONTID:0002267,Inorganic compounds;Mixed metal/non-metal compounds;Alkali metal oxoanionic compounds;Alkali metal selenophosphates
Organoaluminium compounds,CHEMONTID:0001529,4,CHEMONTID:0001523,CHEMONTID:0000000;CHEMONTID:0000462;CHEMONTID:0001523;CHEMONTID:0001529,Organic compounds;Organometallic compounds;Organo-post-transition metal compounds;Organoaluminium compounds
Transition metal bromides,CHEMONTID:0000587,4,CHEMONTID:0000443,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000443;CHEMONTID:0000587,Inorganic compounds;Mixed metal/non-metal compounds;Transition metal salts;Transition metal bromides
Post-transition metal aluminates,CHEMONTID:0000929,4,CHEMONTID:0000451,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000451;CHEMONTID:0000929,Inorganic compounds;Mixed metal/non-metal compounds;Post-transition metal oxoanionic compounds;Post-transition metal aluminates
"1,3-dioxoles",CHEMONTID:0000272,4,CHEMONTID:0000193,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000193;CHEMONTID:0000272,"Organic compounds;Organoheterocyclic compounds;Dioxoles;1,3-dioxoles"
Alkaline earth metal sulfites,CHEMONTID:0000700,4,CHEMONTID:0000446,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000446;CHEMONTID:0000700,Inorganic compounds;Mixed metal/non-metal compounds;Alkaline earth metal oxoanionic compounds;Alkaline earth metal sulfites
Phenanthroindolizidines,CHEMONTID:0001906,4,CHEMONTID:0000025,CHEMONTID:0000000;CHEMONTID:0002448;CHEMONTID:0000025;CHEMONTID:0001906,Organic compounds;Benzenoids;Phenanthrenes and derivatives;Phenanthroindolizidines
Glycerophosphocholines,CHEMONTID:0002213,4,CHEMONTID:0000256,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0000256;CHEMONTID:0002213,Organic compounds;Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphocholines
Lanthanide tetrathionates,CHEMONTID:0000786,4,CHEMONTID:0000447,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000447;CHEMONTID:0000786,Inorganic compounds;Mixed metal/non-metal compounds;Lanthanide oxoanionic compounds;Lanthanide tetrathionates
Butyrophenones,CHEMONTID:0000350,4,CHEMONTID:0002279,CHEMONTID:0000000;CHEMONTID:0002448;CHEMONTID:0002279;CHEMONTID:0000350,Organic compounds;Benzenoids;Benzene and substituted derivatives;Butyrophenones
"Pyrrolo[2,3-d]pyrimidines",CHEMONTID:0004415,4,CHEMONTID:0001799,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001799;CHEMONTID:0004415,"Organic compounds;Organoheterocyclic compounds;Pyrrolopyrimidines;Pyrrolo[2,3-d]pyrimidines"
Corroles,CHEMONTID:0001182,4,CHEMONTID:0001455,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001455;CHEMONTID:0001182,Organic compounds;Organoheterocyclic compounds;Tetrapyrroles and derivatives;Corroles
Metalloid hypophosphites,CHEMONTID:0000801,4,CHEMONTID:0000449,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000449;CHEMONTID:0000801,Inorganic compounds;Mixed metal/non-metal compounds;Metalloid oxoanionic compounds;Metalloid hypophosphites
Phenylacetamides,CHEMONTID:0002363,4,CHEMONTID:0002279,CHEMONTID:0000000;CHEMONTID:0002448;CHEMONTID:0002279;CHEMONTID:0002363,Organic compounds;Benzenoids;Benzene and substituted derivatives;Phenylacetamides
Alkaline earth metal perchlorates,CHEMONTID:0000687,4,CHEMONTID:0000446,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000446;CHEMONTID:0000687,Inorganic compounds;Mixed metal/non-metal compounds;Alkaline earth metal oxoanionic compounds;Alkaline earth metal perchlorates
Metalloid peroxomonosulfates,CHEMONTID:0000823,4,CHEMONTID:0000449,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000449;CHEMONTID:0000823,Inorganic compounds;Mixed metal/non-metal compounds;Metalloid oxoanionic compounds;Metalloid peroxomonosulfates
Indoles,CHEMONTID:0002497,4,CHEMONTID:0000211,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000211;CHEMONTID:0002497,Organic compounds;Organoheterocyclic compounds;Indoles and derivatives;Indoles
Actinide phosphites,CHEMONTID:0000615,4,CHEMONTID:0000448,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000448;CHEMONTID:0000615,Inorganic compounds;Mixed metal/non-metal compounds;Actinide oxoanionic compounds;Actinide phosphites
Isoflav-3-enes,CHEMONTID:0002819,4,CHEMONTID:0002506,CHEMONTID:0000000;CHEMONTID:0000261;CHEMONTID:0002506;CHEMONTID:0002819,Organic compounds;Phenylpropanoids and polyketides;Isoflavonoids;Isoflav-3-enes
Phenothiazines,CHEMONTID:0000310,4,CHEMONTID:0000309,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000309;CHEMONTID:0000310,Organic compounds;Organoheterocyclic compounds;Benzothiazines;Phenothiazines
Alkaline earth metal plumbites,CHEMONTID:0000920,4,CHEMONTID:0000446,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000446;CHEMONTID:0000920,Inorganic compounds;Mixed metal/non-metal compounds;Alkaline earth metal oxoanionic compounds;Alkaline earth metal plumbites
Transition metal hypophosphites,CHEMONTID:0000841,4,CHEMONTID:0000450,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000450;CHEMONTID:0000841,Inorganic compounds;Mixed metal/non-metal compounds;Transition metal oxoanionic compounds;Transition metal hypophosphites
C24-propyl sterols and derivatives,CHEMONTID:0003061,4,CHEMONTID:0000258,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0000258;CHEMONTID:0003061,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;C24-propyl sterols and derivatives
4-aroylquinolines,CHEMONTID:0003912,4,CHEMONTID:0001253,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001253;CHEMONTID:0003912,Organic compounds;Organoheterocyclic compounds;Quinolines and derivatives;4-aroylquinolines
Isoquinolones and derivatives,CHEMONTID:0002054,4,CHEMONTID:0002566,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002566;CHEMONTID:0002054,Organic compounds;Organoheterocyclic compounds;Isoquinolines and derivatives;Isoquinolones and derivatives
Phenylpyruvic acid derivatives,CHEMONTID:0001276,4,CHEMONTID:0002279,CHEMONTID:0000000;CHEMONTID:0002448;CHEMONTID:0002279;CHEMONTID:0001276,Organic compounds;Benzenoids;Benzene and substituted derivatives;Phenylpyruvic acid derivatives
Alkali metal nitrites,CHEMONTID:0000644,4,CHEMONTID:0000445,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000445;CHEMONTID:0000644,Inorganic compounds;Mixed metal/non-metal compounds;Alkali metal oxoanionic compounds;Alkali metal nitrites
Transition metal chlorates,CHEMONTID:0000831,4,CHEMONTID:0000450,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000450;CHEMONTID:0000831,Inorganic compounds;Mixed metal/non-metal compounds;Transition metal oxoanionic compounds;Transition metal chlorates
Terpene lactones,CHEMONTID:0001283,4,CHEMONTID:0000259,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0000259;CHEMONTID:0001283,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Terpene lactones
Monoterpenoids,CHEMONTID:0001549,4,CHEMONTID:0000259,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0000259;CHEMONTID:0001549,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Monoterpenoids
Fatty acyl thioesters,CHEMONTID:0003327,4,CHEMONTID:0003909,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0003909;CHEMONTID:0003327,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty acyl thioesters
Tryptamines and derivatives,CHEMONTID:0000183,4,CHEMONTID:0000211,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000211;CHEMONTID:0000183,Organic compounds;Organoheterocyclic compounds;Indoles and derivatives;Tryptamines and derivatives
Post-transition metal hypophosphites,CHEMONTID:0000721,4,CHEMONTID:0000451,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000451;CHEMONTID:0000721,Inorganic compounds;Mixed metal/non-metal compounds;Post-transition metal oxoanionic compounds;Post-transition metal hypophosphites
Alpha-phosphonopeptides,CHEMONTID:0001960,4,CHEMONTID:0001813,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0001813;CHEMONTID:0001960,Organic compounds;Organic acids and derivatives;Peptidomimetics;Alpha-phosphonopeptides
Cyclohexylphenols,CHEMONTID:0002099,4,CHEMONTID:0002279,CHEMONTID:0000000;CHEMONTID:0002448;CHEMONTID:0002279;CHEMONTID:0002099,Organic compounds;Benzenoids;Benzene and substituted derivatives;Cyclohexylphenols
Transition metal alkyls,CHEMONTID:0004443,4,CHEMONTID:0004436,CHEMONTID:0000000;CHEMONTID:0000462;CHEMONTID:0004436;CHEMONTID:0004443,Organic compounds;Organometallic compounds;Metal alkyls;Transition metal alkyls
Quinoline carboxylic acids,CHEMONTID:0002552,4,CHEMONTID:0001253,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001253;CHEMONTID:0002552,Organic compounds;Organoheterocyclic compounds;Quinolines and derivatives;Quinoline carboxylic acids
Metalloid peroxynitrites,CHEMONTID:0000811,4,CHEMONTID:0000449,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000449;CHEMONTID:0000811,Inorganic compounds;Mixed metal/non-metal compounds;Metalloid oxoanionic compounds;Metalloid peroxynitrites
"1,2,4-triazines",CHEMONTID:0004107,4,CHEMONTID:0000098,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000098;CHEMONTID:0004107,"Organic compounds;Organoheterocyclic compounds;Triazines;1,2,4-triazines"
Alkali metal arsenites,CHEMONTID:0000893,4,CHEMONTID:0000445,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000445;CHEMONTID:0000893,Inorganic compounds;Mixed metal/non-metal compounds;Alkali metal oxoanionic compounds;Alkali metal arsenites
Alkaline earth metal aluminates,CHEMONTID:0000909,4,CHEMONTID:0000446,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000446;CHEMONTID:0000909,Inorganic compounds;Mixed metal/non-metal compounds;Alkaline earth metal oxoanionic compounds;Alkaline earth metal aluminates
Furostanes and derivatives,CHEMONTID:0001701,4,CHEMONTID:0000258,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0000258;CHEMONTID:0001701,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;Furostanes and derivatives
4-phenyltetrahydroisoquinolines,CHEMONTID:0002957,4,CHEMONTID:0002955,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002955;CHEMONTID:0002957,Organic compounds;Organoheterocyclic compounds;Tetrahydroisoquinolines;4-phenyltetrahydroisoquinolines
Transition metal plumbites,CHEMONTID:0000998,4,CHEMONTID:0000450,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000450;CHEMONTID:0000998,Inorganic compounds;Mixed metal/non-metal compounds;Transition metal oxoanionic compounds;Transition metal plumbites
