#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename
1650	M+H	 	      58-08-2	1	Caffeine	Isolated	 	194.08	spectra/specs_ms.mgf1650	1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3	 	Orbitrap	Positive	LC-ESI	195.087	lib-00012.mgf	Bronze	3	0.979646	4.0672	0.000793457	1	GNPS-LIBRARY	Najla Moufarreg	195.087	2519	0	8	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	1	195.088	spectra/specs_ms.mgf	CCMSLIB00003142435	5.43528e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	195.088
3145	M+H-H2O	24738485	1	Dodeca-2(E),4(E)-dienoic acid	Isolated	NIST	0.0	spectra/specs_ms.mgf3145	InChI=1S/C12H20O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h8-11H,2-7H2,1H3,(H,13,14)/b9-8+,11-10+	N/A	HCD	Positive	ESI	179.143	lib-00034.mgf	Bronze	3	0.935041	1.1073	0.000198364	1	NIST17	NIST	179.143	N/A	0	28	CCCCCCCC=CC=CC(=O)O	1	179.143	specs_ms.mgf	CCMSLIB00003575194	3.71966e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1853	[M+H]+	28291-75-0	1	MassbankEU:SM884701 N-Cyclohexyl-2-benzothiazol-amine|N-cyclohexyl-1,3-benzothiazol-2-amine	Isolated	Massbank	0.0	spectra/specs_ms.mgf1853	1S/C13H16N2S/c1-2-6-10(7-3-1)14-13-15-11-8-4-5-9-12(11)16-13/h4-5,8-10H,1-3,6-7H2,(H,14,15)	N/A	LC-ESI-QFT	Positive	ESI	233.111	lib-00011.mgf	Bronze	3	0.93457	0.4582	0.000106812	1	MASSBANKEU	Massbank EU	233.111	N/A	0	6	C1CCC(CC1)NC1=NC2=CC=CC=C2S1	1	233.111	specs_ms.mgf	CCMSLIB00000842098	6.10487e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
7262	M+H	25243952	1	Octanoylcarnitine	Isolated	NIST	0.0	spectra/specs_ms.mgf7262	InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3/t13-/m1/s1	N/A	HCD	Positive	ESI	288.217	lib-00034.mgf	Bronze	3	0.932708	0	0	1	NIST17	NIST	288.217	N/A	0	7	CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	1	288.217	specs_ms.mgf	CCMSLIB00003411982	7.44401e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1306	[M+H]+	90-30-2	1	MassbankEU:SM812701 N-phenyl-1-naphthylamine|N-phenylnaphthalen-1-amine	Isolated	Massbank	0.0	spectra/specs_ms.mgf1306	1S/C16H13N/c1-2-9-14(10-3-1)17-16-12-6-8-13-7-4-5-11-15(13)16/h1-12,17H	N/A	LC-ESI-QFT	Positive	ESI	220.112	lib-00011.mgf	Bronze	3	0.932691	1.80239	0.000396729	1	MASSBANKEU	Massbank EU	220.112	N/A	0	11	C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32	1	220.112	specs_ms.mgf	CCMSLIB00000841546	2.04218e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
13081	M+H	N/A	0	Glu Leu Leu	Isolated	N/A	0.0	spectra/specs_ms.mgf13081	N/A	N/A	LC-ESI-QTOF	Positive-20eV	LC-ESI	374.229	lib-00031.mgf	Bronze	3	0.932599	11.2536	0.00421143	1	METLIN	Metlin	374.229	N/A	0	15	N/A	1	374.233	specs_ms.mgf	CCMSLIB00000515748	4.35912e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
15809	M+H-H2O	37515610	1	Monopalmitolein (9c)	Isolated	NIST	0.0	spectra/specs_ms.mgf15809	InChI=1S/C19H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-17-18(21)16-20/h7-8,18,20-21H,2-6,9-17H2,1H3/b8-7-	N/A	HCD	Positive	ESI	311.258	lib-00034.mgf	Bronze	3	0.932538	6.07885	0.00189209	1	NIST17	NIST	311.258	N/A	0	8	CCCCCCC=CCCCCCCCC(=O)OCC(CO)O	1	311.256	specs_ms.mgf	CCMSLIB00003302687	1.43862e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
461	M+H	6809707	1	Spectral Match to Undecaethylene glycol from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.mgf461	N/A	N/A	QqQ	Positive	ESI	503.311	lib-00030.mgf	Bronze	3	0.932276	8.18554	0.00411987	1	GNPS-NIST14-MATCHES	Data from Karly Nisson	503.311	N/A	0	21	N/A	1	503.307	specs_ms.mgf	CCMSLIB00003135327	7.69426e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
20299	M+H	6809707	1	Spectral Match to Undecaethylene glycol from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.mgf20299	N/A	N/A	QqQ	Positive	ESI	503.311	lib-00030.mgf	Bronze	3	0.932276	16.4923	0.00830078	1	GNPS-NIST14-MATCHES	Data from Karly Nisson	503.311	N/A	0	21	N/A	1	503.303	specs_ms.mgf	CCMSLIB00003135327	7.69426e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
19203	M+H	6809707	1	Spectral Match to Undecaethylene glycol from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.mgf19203	N/A	N/A	QqQ	Positive	ESI	503.311	lib-00030.mgf	Bronze	3	0.932276	8.54934	0.00430298	1	GNPS-NIST14-MATCHES	Data from Karly Nisson	503.311	N/A	0	21	N/A	1	503.307	specs_ms.mgf	CCMSLIB00003135327	7.69426e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
4063	M+H	89915399	1	.beta.-Carboline-1-propionic acid	Isolated	NIST	0.0	spectra/specs_ms.mgf4063	InChI=1S/C14H12N2O2/c17-13(18)6-5-12-14-10(7-8-15-12)9-3-1-2-4-11(9)16-14/h1-4,7-8,16H,5-6H2,(H,17,18)	N/A	HCD	Positive	ESI	241.097	lib-00034.mgf	Bronze	3	0.931973	41.4543	0.00999451	1	NIST17	NIST	241.097	N/A	0	4	C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)CCC(=O)O	1	241.107	specs_ms.mgf	CCMSLIB00003382032	2.93654e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
18561	M+H	3992458	1	Decanoyl-L-carnitine	Isolated	NIST	0.0	spectra/specs_ms.mgf18561	InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3/t15-/m1/s1	N/A	HCD	Positive	ESI	316.248	lib-00034.mgf	Bronze	3	0.931647	0	0	1	NIST17	NIST	316.248	N/A	0	9	CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	1	316.248	specs_ms.mgf	CCMSLIB00003423586	1.72411e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1033	M+H-H2O	197247237	1	Dinor-12-oxophytodienoic Acid	Isolated	NIST	0.0	spectra/specs_ms.mgf1033	N/A	N/A	HCD	Positive	ESI	247.169	lib-00033.mgf	Bronze	3	0.930706	36.0527	0.00891113	1	NIST14	NIST	247.169	N/A	0	11	N/A	1	247.178	specs_ms.mgf	CCMSLIB00000237671	1.33986e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
2038	M+H-H2O	88266	1	2,6-Di-tert-butyl-4-hydroxymethylphenol	Isolated	NIST	0.0	spectra/specs_ms.mgf2038	InChI=1S/C15H24O2/c1-14(2,3)11-7-10(9-16)8-12(13(11)17)15(4,5)6/h7-8,16-17H,9H2,1-6H3	N/A	HCD	Positive	ESI	219.174	lib-00034.mgf	Bronze	3	0.930164	1.81011	0.000396729	1	NIST17	NIST	219.174	N/A	0	31	CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CO	1	219.175	specs_ms.mgf	CCMSLIB00003303199	3.71314e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1634	M+H-H2O	1445908495	1	1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-	Isolated	NIST	0.0	spectra/specs_ms.mgf1634	InChI=1S/C15H23NO/c1-2-8-14(16-11-6-7-12-16)15(17)13-9-4-3-5-10-13/h3-5,9-10,14-15,17H,2,6-8,11-12H2,1H3	N/A	HCD	Positive	ESI	216.175	lib-00034.mgf	Bronze	3	0.929756	1.41171	0.000305176	1	NIST17	NIST	216.175	N/A	0	4	CCCC(C(C1=CC=CC=C1)O)N2CCCC2	1	216.175	specs_ms.mgf	CCMSLIB00003581385	6.04056e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
4230	M+H-H2O	5001332	1	Metanephrine	Isolated	NIST	0.0	spectra/specs_ms.mgf4230	InChI=1S/C10H15NO3/c1-11-6-9(13)7-3-4-8(12)10(5-7)14-2/h3-5,9,11-13H,6H2,1-2H3	N/A	Q-TOF	Positive	ESI	180.102	lib-00034.mgf	Bronze	3	0.929726	1.1014	0.000198364	1	NIST17	NIST	180.102	N/A	0	4	CNCC(C1=CC(=C(C=C1)O)OC)O	1	180.102	specs_ms.mgf	CCMSLIB00003193830	1.25127e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
17040	M+H	6809707	1	Spectral Match to Undecaethylene glycol from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf17040	N/A	N/A	QqQ	Positive	ESI	503.306	lib-00030.mgf	Bronze	3	0.929676	11.9449	0.00601196	1	GNPS-NIST14-MATCHES	Data from Pieter C. Dorrestein	503.306	N/A	0	9	N/A	1	503.312	specs_ms.mgf	CCMSLIB00003138020	2.29142e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
4457	M+H-H2O	37025595	1	(1S,2R)-2-(Diethylamino)-1-phenyl-1-propanol	Isolated	NIST	0.0	spectra/specs_ms.mgf4457	InChI=1S/C13H21NO/c1-4-14(5-2)11(3)13(15)12-9-7-6-8-10-12/h6-11,13,15H,4-5H2,1-3H3	N/A	HCD	Positive	ESI	190.159	lib-00034.mgf	Bronze	3	0.929582	0.561696	0.000106812	1	NIST17	NIST	190.159	N/A	0	5	CCN(CC)C(C)C(C1=CC=CC=C1)O	1	190.159	specs_ms.mgf	CCMSLIB00003315578	4.59552e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
796	M+H	84742	1	Spectral Match to Dibutyl phthalate from NIST14	Isolated	Data deposited by negarg	0.0	spectra/specs_ms.mgf796	N/A	N/A	QqQ	Positive	ESI	279.159	lib-00030.mgf	Bronze	3	0.928791	0	0	1	GNPS-NIST14-MATCHES	Data from Pieter C Dorrestein	279.159	N/A	0	11	N/A	1	279.159	specs_ms.mgf	CCMSLIB00003135580	1.04317e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
13623	M+H-H2O	127413	1	.alpha.-Ionone	Isolated	NIST	0.0	spectra/specs_ms.mgf13623	InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h6-8,12H,5,9H2,1-4H3/b8-7+	N/A	HCD	Positive	ESI	175.148	lib-00034.mgf	Bronze	3	0.928137	1.13255	0.000198364	1	NIST17	NIST	175.148	N/A	0	16	CC1=CCCC(C1C=CC(=O)C)(C)C	1	175.148	specs_ms.mgf	CCMSLIB00003572297	1.17489e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
11745	M+H	19420576	1	Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by amelnik	0.0	spectra/specs_ms.mgf11745	N/A	N/A	HCD	Positive	ESI	524.371	lib-00030.mgf	Bronze	3	0.927838	5.00507	0.00262451	1	GNPS-NIST14-MATCHES	Data from P.Dorrestein	524.371	N/A	0	13	N/A	1	524.374	specs_ms.mgf	CCMSLIB00003136720	1.5648e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1802	M+H	244633	1	Norharmane	Isolated	NIST	0.0	spectra/specs_ms.mgf1802	InChI=1S/C11H8N2/c1-2-4-10-8(3-1)9-5-6-12-7-11(9)13-10/h1-7,13H	N/A	Q-TOF	Positive	ESI	169.076	lib-00034.mgf	Bronze	3	0.927809	1.17323	0.000198364	1	NIST17	NIST	169.076	N/A	0	4	C1=CC=C2C(=C1)C3=C(N2)C=NC=C3	1	169.076	specs_ms.mgf	CCMSLIB00003197952	7.61999e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1445	M-H-H2O	7046404	1	Dinorprostaglandin E1	Isolated	NIST	0.0	spectra/specs_ms.mgf1445	InChI=1S/C18H30O5/c1-2-3-4-7-13(19)10-11-15-14(16(20)12-17(15)21)8-5-6-9-18(22)23/h10-11,13-15,17,19,21H,2-9,12H2,1H3,(H,22,23)/b11-10+/t13-,14+,15+,17+/m0/s1	N/A	HCD	Negative	ESI	307.191	lib-00034.mgf	Bronze	3	0.927143	5.16588	0.00158691	1	NIST17	NIST	307.191	N/A	0	4	CCCCCC(C=CC1C(CC(=O)C1CCCCC(=O)O)O)O	1	307.19	specs_ms.mgf	CCMSLIB00003253168	1.6887e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
13294	M+H	3992458	1	Decanoyl-L-carnitine	Isolated	NIST	0.0	spectra/specs_ms.mgf13294	InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3/t15-/m1/s1	N/A	HCD	Positive	ESI	316.248	lib-00034.mgf	Bronze	3	0.926242	0.964988	0.000305176	1	NIST17	NIST	316.248	N/A	0	9	CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	1	316.249	specs_ms.mgf	CCMSLIB00003423586	2.41109e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
12347	M+H	N/A	0	Leu Ala Ile	Isolated	N/A	0.0	spectra/specs_ms.mgf12347	N/A	N/A	LC-ESI-QTOF	Positive-20eV	LC-ESI	316.223	lib-00031.mgf	Bronze	3	0.92553	0.965065	0.000305176	1	METLIN	Metlin	316.223	N/A	0	5	N/A	1	316.223	specs_ms.mgf	CCMSLIB00000523602	5.23373e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
15785	M+H	25243952	1	Octanoylcarnitine	Isolated	NIST	0.0	spectra/specs_ms.mgf15785	InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3/t13-/m1/s1	N/A	HCD	Positive	ESI	288.217	lib-00034.mgf	Bronze	3	0.925459	0.423536	0.00012207	1	NIST17	NIST	288.217	N/A	0	7	CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	1	288.217	specs_ms.mgf	CCMSLIB00003411982	9.48623e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
15999	M+H	134623	1	Spectral Match to Diethyltoluamide from NIST14	Isolated	Data deposited by lfnothias	0.0	spectra/specs_ms.mgf15999	N/A	N/A	HCD	Positive	ESI	192.138	lib-00030.mgf	Bronze	3	0.924832	2.62072	0.00050354	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	192.138	N/A	0	5	N/A	1	192.139	specs_ms.mgf	CCMSLIB00003135871	397204	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
7632	M+H-NH3	2577948	1	L-Arginine, methyl ester	Isolated	NIST	0.0	spectra/specs_ms.mgf7632	InChI=1S/C7H16N4O2/c1-13-6(12)5(8)3-2-4-11-7(9)10/h5H,2-4,8H2,1H3,(H4,9,10,11)/t5-/m0/s1	N/A	HCD	Positive	ESI	172.108	lib-00034.mgf	Bronze	3	0.92428	24.381	0.00419617	1	NIST17	NIST	172.108	N/A	0	5	COC(=O)C(CCCN=C(N)N)N	1	172.112	specs_ms.mgf	CCMSLIB00003369097	2.4912e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
6148	M+H	93483717	1	4-Amino-N-(tert-butyl)benzamide	Isolated	NIST	0.0	spectra/specs_ms.mgf6148	InChI=1S/C11H16N2O/c1-11(2,3)13-10(14)8-4-6-9(12)7-5-8/h4-7H,12H2,1-3H3,(H,13,14)	N/A	HCD	Positive	ESI	193.133	lib-00034.mgf	Bronze	3	0.924108	1.02708	0.000198364	1	NIST17	NIST	193.133	N/A	0	4	CC(C)(C)NC(=O)C1=CC=C(C=C1)N	1	193.134	specs_ms.mgf	CCMSLIB00003451529	6.10725e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
4123	M+H	6809707	1	Spectral Match to Undecaethylene glycol from NIST14	Isolated	Data deposited by amelnik	0.0	spectra/specs_ms.mgf4123	N/A	N/A	QqQ	Positive	ESI	503.307	lib-00030.mgf	Bronze	3	0.92408	12.5513	0.00631714	1	GNPS-NIST14-MATCHES	Data from PDorrestein	503.307	N/A	0	15	N/A	1	503.301	specs_ms.mgf	CCMSLIB00003134737	1.39326e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
3935	M+H-H2O	37025595	1	(1S,2R)-2-(Diethylamino)-1-phenyl-1-propanol	Isolated	NIST	0.0	spectra/specs_ms.mgf3935	InChI=1S/C13H21NO/c1-4-14(5-2)11(3)13(15)12-9-7-6-8-10-12/h6-11,13,15H,4-5H2,1-3H3	N/A	HCD	Positive	ESI	190.159	lib-00034.mgf	Bronze	3	0.923602	1.04315	0.000198364	1	NIST17	NIST	190.159	N/A	0	5	CCN(CC)C(C)C(C1=CC=CC=C1)O	1	190.159	specs_ms.mgf	CCMSLIB00003315578	4.02329e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1140	M+H	143226	1	Triethylene glycol monobutyl ether	Isolated	NIST	0.0	spectra/specs_ms.mgf1140	InChI=1S/C10H22O4/c1-2-3-5-12-7-9-14-10-8-13-6-4-11/h11H,2-10H2,1H3	N/A	HCD	Positive	ESI	207.159	lib-00034.mgf	Bronze	3	0.923537	0.957545	0.000198364	1	NIST17	NIST	207.159	N/A	0	8	CCCCOCCOCCOCCO	1	207.159	specs_ms.mgf	CCMSLIB00003472959	3.05713e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
8688	M+H-CH4O3	20554841	1	Parthenolide	Isolated	NIST	0.0	spectra/specs_ms.mgf8688	N/A	N/A	HCD	Positive	ESI	185.133	lib-00034.mgf	Bronze	3	0.923233	0.494525	9.15527e-05	1	NIST17	NIST	185.133	N/A	0	31	N/A	1	185.133	specs_ms.mgf	CCMSLIB00003390226	2.64726e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
18660	M+H-CH2O2	31519229	1	1,4-Dihydroxy-2-naphthoic acid	Isolated	NIST	0.0	spectra/specs_ms.mgf18660	InChI=1S/C11H8O4/c12-9-5-8(11(14)15)10(13)7-4-2-1-3-6(7)9/h1-5,12-13H,(H,14,15)	N/A	HCD	Positive	ESI	159.044	lib-00034.mgf	Bronze	3	0.922245	1.24723	0.000198364	1	NIST17	NIST	159.044	N/A	0	4	C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O	1	159.044	specs_ms.mgf	CCMSLIB00003653202	1.9391e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
490	M+H-H2O	111206	1	Sebacic acid	Isolated	NIST	0.0	spectra/specs_ms.mgf490	InChI=1S/C10H18O4/c11-9(12)7-5-3-1-2-4-6-8-10(13)14/h1-8H2,(H,11,12)(H,13,14)	N/A	HCD	Positive	ESI	185.117	lib-00034.mgf	Bronze	3	0.922175	12.4466	0.00230408	1	NIST17	NIST	185.117	N/A	0	6	C(CCCCC(=O)O)CCCC(=O)O	1	185.115	specs_ms.mgf	CCMSLIB00003465056	945213	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
2739	M+H	1086802	1	Lumichrome	Isolated	NIST	0.0	spectra/specs_ms.mgf2739	InChI=1S/C12H10N4O2/c1-5-3-7-8(4-6(5)2)14-10-9(13-7)11(17)16-12(18)15-10/h3-4H,1-2H3,(H2,14,15,16,17,18)	N/A	HCD	Positive	ESI	243.088	lib-00034.mgf	Bronze	3	0.922081	11.9892	0.00291443	1	NIST17	NIST	243.088	N/A	0	10	CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3	1	243.085	specs_ms.mgf	CCMSLIB00003657493	3.43157e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
6311	M-H-NH3	2922830	1	L-Kynurenine	Isolated	NIST	0.0	spectra/specs_ms.mgf6311	InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)	N/A	HCD	Negative	ESI	190.051	lib-00034.mgf	Bronze	3	0.922014	5.21871	0.000991821	1	NIST17	NIST	190.051	N/A	0	5	C1=CC=C(C(=C1)C(=O)CC(C(=O)[O-])[NH3+])N	1	190.05	specs_ms.mgf	CCMSLIB00003453181	1.23397e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1152	M+Na	77930	1	Triethyl citrate	Isolated	NIST	0.0	spectra/specs_ms.mgf1152	InChI=1S/C12H20O7/c1-4-17-9(13)7-12(16,11(15)19-6-3)8-10(14)18-5-2/h16H,4-8H2,1-3H3	N/A	HCD	Positive	ESI	299.11	lib-00034.mgf	Bronze	3	0.92195	6.63181	0.00198364	1	NIST17	NIST	299.11	N/A	0	5	CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O	1	299.112	specs_ms.mgf	CCMSLIB00003303355	3.77381e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
11451	[M+H]+	120375-14-6	1	Massbank:EA006703 Metolachlor morpholinone|4-(2-ethyl-6-methylphenyl)-5-methylmorpholin-3-one	Isolated	Massbank	0.0	spectra/specs_ms.mgf11451	1S/C14H19NO2/c1-4-12-7-5-6-10(2)14(12)15-11(3)8-17-9-13(15)16/h5-7,11H,4,8-9H2,1-3H3	N/A	LC-ESI-ITFT	Positive	ESI	234.149	lib-00003.mgf	Bronze	3	0.921862	0.847171	0.000198364	1	MASSBANK	Putative Massbank Match	234.149	N/A	0	4	O=C2N(c1c(cccc1C)CC)C(C)COC2	1	234.149	specs_ms.mgf	CCMSLIB00000206526	5.52635e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
6594	M+H-NH3	152624038	1	5-(2-Aminopropyl)-2,3-dihydrobenzofuran	Isolated	NIST	0.0	spectra/specs_ms.mgf6594	InChI=1S/C11H15NO/c1-8(12)6-9-2-3-11-10(7-9)4-5-13-11/h2-3,7-8H,4-6,12H2,1H3	N/A	HCD	Positive	ESI	161.096	lib-00034.mgf	Bronze	3	0.921634	0.66303	0.000106812	1	NIST17	NIST	161.096	N/A	0	7	CC(CC1=CC2=C(C=C1)OCC2)N	1	161.096	specs_ms.mgf	CCMSLIB00003416616	1.64511e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1876	M+H-H2O	127413	1	.alpha.-Ionone	Isolated	NIST	0.0	spectra/specs_ms.mgf1876	InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h6-8,12H,5,9H2,1-4H3/b8-7+	N/A	HCD	Positive	ESI	175.148	lib-00034.mgf	Bronze	3	0.92117	1.13255	0.000198364	1	NIST17	NIST	175.148	N/A	0	19	CC1=CCCC(C1C=CC(=O)C)(C)C	1	175.148	specs_ms.mgf	CCMSLIB00003572297	5.37686e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
5968	M+H	83885	1	Spectral Match to (-)-Riboflavin from NIST14	Isolated	Data deposited by quinnr	0.0	spectra/specs_ms.mgf5968	N/A	N/A	IT/ion trap	Positive	ESI	377.145	lib-00030.mgf	Bronze	3	0.921076	1.05193	0.000396729	1	GNPS-NIST14-MATCHES	Data from Dorrestein/Knight	377.145	N/A	0	10	N/A	1	377.145	specs_ms.mgf	CCMSLIB00003139347	5.03126e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
4421	M+H-H2O	32233402	1	(-)-Corey lactone diol	Isolated	NIST	0.0	spectra/specs_ms.mgf4421	InChI=1S/C8H12O4/c9-3-5-4-1-8(11)12-7(4)2-6(5)10/h4-7,9-10H,1-3H2/t4-,5-,6-,7+/m1/s1	N/A	HCD	Positive	ESI	155.07	lib-00034.mgf	Bronze	3	0.920899	0.688794	0.000106812	1	NIST17	NIST	155.07	N/A	0	10	C1C(C(C2C1OC(=O)C2)CO)O	1	155.07	specs_ms.mgf	CCMSLIB00003539281	5.3231e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
8596	M+H	N/A	0	Arg Thr Ala	Isolated	N/A	0.0	spectra/specs_ms.mgf8596	N/A	N/A	LC-ESI-QTOF	Positive-10eV	LC-ESI	347.204	lib-00031.mgf	Bronze	3	0.920644	5.27372	0.00183105	1	METLIN	Metlin	347.204	N/A	0	4	N/A	1	347.206	specs_ms.mgf	CCMSLIB00000482102	8.2157e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
723	Cat	7773526	1	Spectral Match to 1-Hexadecylpyridinium from NIST14	Isolated	Data deposited by lfnothias	0.0	spectra/specs_ms.mgf723	N/A	N/A	QqQ	Positive	ESI	304.299	lib-00030.mgf	Bronze	3	0.920622	2.30663	0.000701904	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	304.299	N/A	0	4	N/A	1	304.3	specs_ms.mgf	CCMSLIB00003134747	596452	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
15609	M+H	89915399	1	.beta.-Carboline-1-propionic acid	Isolated	NIST	0.0	spectra/specs_ms.mgf15609	InChI=1S/C14H12N2O2/c17-13(18)6-5-12-14-10(7-8-15-12)9-3-1-2-4-11(9)16-14/h1-4,7-8,16H,5-6H2,(H,17,18)	N/A	HCD	Positive	ESI	241.097	lib-00034.mgf	Bronze	3	0.919108	41.4543	0.00999451	1	NIST17	NIST	241.097	N/A	0	4	C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)CCC(=O)O	1	241.107	specs_ms.mgf	CCMSLIB00003382032	2.60896e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
